,Unnamed: 0,Listing ID,Location,Lat_Long,Monthly Rental Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Type,num_grocers,num_nightlife,num_noise,num_restaurants,num_subways,num_trees,grocers_normalized,nightlife_normalized,noise_normalized,restaurants_normalized,subways_normalized,trees_normalized,id
0,0,3021099,211 North End Avenue #12A,"['40.71628546,-74.01546103']",4600,1.0,1.0,860.0,40.71628546,-74.01546103,Apartment,5,1,20,26,0,430,-1.3199829831559842,-1.00563951072494,-1.1256135704148957,-0.9560361910254545,-0.7358982083991781,-0.0828684596734342,3021099
1,1,3020988,150 East 39th Street #601,"['40.74890137,-73.97660065']",2650,0.0,1.0,0.0,40.74890137,-73.97660065,Apartment,20,8,153,108,3,514,0.4183615951881564,-0.10429807985751624,-0.16076048414793817,0.4659657618874291,-0.3193520527015301,0.379653175713175,3020988
2,2,3026635,257 West 136th Street #4AA,"['40.81700815,-73.94508554']",2195,2.0,1.0,0.0,40.81700815,-73.94508554,Apartment,21,6,236,12,6,561,0.5342512337444324,-0.36182420296249446,0.441365877958509,-1.1988170122544832,0.09719410299611789,0.6384450431318729,3026635
3,3,3026633,272 West 139th Street #3A,"['40.81876179,-73.9446072']",2650,2.0,1.0,0.0,40.81876179,-73.9446072,Apartment,17,4,297,13,2,554,0.07069267951932831,-0.6193503260674726,0.8838924814343316,-1.1814755250238385,-0.45820077126741277,0.5999015735163221,3026633
4,4,3026626,408 West 34th Street #6E,"['40.75329123,-73.9971017']",1975,0.0,1.0,0.0,40.75329123,-73.9971017,Apartment,8,5,239,71,0,210,-0.972314067487156,-0.4905872645149836,0.46312948140813964,-0.17566926564643298,-0.7358982083991781,-1.2942346475907438,3026626
5,5,3026621,47 West 88th Street #4A,"['40.78749503,-73.96993322']",2350,1.0,1.0,0.0,40.78749503,-73.96993322,Apartment,8,0,92,16,5,583,-0.972314067487156,-1.1344025722774291,-0.6032870876237608,-1.1294510633319037,-0.041654615569764776,0.7595816619236039,3026621
6,6,3026616,2147 Second Avenue #5A,"['40.79360168,-73.94066629']",2565,2.0,1.0,0.0,40.79360168,-73.94066629,Apartment,24,1,155,34,0,289,0.8819201494132606,-1.00563951072494,-0.14625141518151774,-0.8173042931802951,-0.7358982083991781,-0.8592440619295282,3026616
7,7,3026611,516 East 78th Street #4A,"['40.77019882,-73.9496994']",2200,0.0,1.0,0.0,40.77019882,-73.9496994,Apartment,10,0,86,21,0,399,-0.7405347903746039,-1.1344025722774291,-0.6468142945230221,-1.042743627178679,-0.7358982083991781,-0.2535609679708733,3026611
8,8,3026608,2 Clinton Street #6C,"['40.72117927,-73.98382714']",4300,3.0,1.0,0.0,40.72117927,-73.98382714,Apartment,28,23,389,99,0,485,1.3454787036383646,1.8271478434298203,1.5513096538896707,0.3098923768116248,-0.7358982083991781,0.2199730873058932,3026608
9,9,3026607,279 East 44th Street #7H,"['40.75152284,-73.97138232']",2700,0.0,1.0,550.0,40.75152284,-73.97138232,Apartment,12,6,85,120,0,466,-0.5087555132620518,-0.36182420296249446,-0.6540688290062322,0.6740636086551681,-0.7358982083991781,0.11535509834939829,3026607
10,10,3026603,463 West 43rd Street #S2,"['40.76026828,-73.99459987']",3895,3.0,1.0,0.0,40.76026828,-73.99459987,Apartment,22,13,125,92,0,398,0.6501408723007085,0.5395172279049293,-0.36388744967782394,0.18850196619711038,-0.7358982083991781,-0.25906717791595196,3026603
11,11,3026600,463 West 43rd Street #W5,"['40.76026828,-73.99459987']",3795,3.0,1.0,0.0,40.76026828,-73.99459987,Apartment,22,13,125,92,0,398,0.6501408723007085,0.5395172279049293,-0.36388744967782394,0.18850196619711038,-0.7358982083991781,-0.25906717791595196,3026600
12,12,3026588,58 West 58th Street #18E,"['40.76449966,-73.97619629']",5999,2.0,1.0,1.0,40.76449966,-73.97619629,Apartment,12,11,56,137,11,128,-0.5087555132620518,0.2819911047999511,-0.8644503290193283,0.9688688915761319,0.7914376958255313,-1.7457438630871958,3026588
13,13,3022514,315 West 33rd Street #30A,"['40.75226186,-73.99461495']",6203,2.0,2.0,964.0,40.75226186,-73.99461495,Apartment,12,11,287,180,16,168,-0.5087555132620518,0.2819911047999511,0.8113471366022296,1.7145528424938634,1.4856812886549444,-1.5254954652840484,3022514
14,14,3021660,666 West End Avenue #8GH,"['40.79270172,-73.97450256']",10495,3.0,2.0,0.0,40.79270172,-73.97450256,Apartment,12,2,206,44,6,678,-0.5087555132620518,-0.8768764491724509,0.22372984346220282,-0.6438894208738458,0.09719410299611789,1.2826716067060786,3021660
15,15,3026583,128 East 62nd Street #4A,"['40.76415587,-73.96752511']",2800,1.0,1.0,0.0,40.76415587,-73.96752511,Apartment,13,11,31,97,16,540,-0.39286587470577583,0.2819911047999511,-1.0458136910995834,0.275209402350335,1.4856812886549444,0.5228146342852207,3026583
16,16,3026579,188 Columbus Avenue #3RN,"['40.77519989,-73.98079681']",3799,1.0,1.0,0.0,40.77519989,-73.98079681,Apartment,10,4,103,65,6,707,-0.7405347903746039,-0.6193503260674726,-0.5234872083084485,-0.2797181890303025,0.09719410299611789,1.4423516951133604,3026579
17,17,3026576,22 Saint Nicholas' Place #23A,"['40.82772184,-73.94165484']",2195,2.0,1.0,0.0,40.82772184,-73.94165484,Apartment,14,3,309,8,2,508,-0.2769762361494998,-0.7481133876199618,0.9709468952328542,-1.268182961177063,-0.45820077126741277,0.34661591604270287,3026576
18,18,3026572,135 West 75th Street #4R,"['40.78019051,-73.97874686']",3075,1.0,1.0,0.0,40.78019051,-73.97874686,Apartment,17,7,136,97,2,634,0.07069267951932831,-0.23306114141000533,-0.2840875703625117,0.275209402350335,-0.45820077126741277,1.0403983691226166,3026572
19,19,3026570,409 West 50th Street #3B,"['40.76395686,-73.98948432']",2000,1.0,1.0,0.0,40.76395686,-73.98948432,Apartment,25,21,383,146,0,503,0.9978097879695366,1.5696217203248422,1.5077824469904095,1.1249422766519361,-0.7358982083991781,0.3190848663173095,3026570
20,20,3026543,101 West 104th Street #7A,"['40.79821147,-73.96389311']",3400,2.0,1.0,0.0,40.79821147,-73.96389311,Apartment,24,2,263,36,1,506,0.8819201494132606,-0.8768764491724509,0.6372383090051846,-0.7826213187190052,-0.5970494898332954,0.33560349615254553,3026543
