,Listing ID,Location,Lat_Long,Monthly Rental Price,Bedrooms,Bathrooms,Square Footage
64,3026377,322 East 61st Street #2B,"['40.76119995,-73.96240234']",2599,1.0,1.0,0.0
65,3023274,445 W 35th Street #4E,"['40.75519943,-73.99720001']",2969,0.0,1.0,0.0
66,3013363,444 West 19th Street #202,"['40.74459839,-74.00509644']",7000,1.0,1.0,850.0
67,3026375,424 West 53rd Street #6,"['40.76572168,-73.98901835']",5200,3.0,2.0,932.0
68,3026373,40 Broad Street #PH2A,"['40.70600128,-74.01180267']",4800,1.0,1.0,920.0
69,3026370,328 East 48th Street #3A,"['40.75289165,-73.96827051']",2000,1.0,1.0,0.0
70,3026369,167 East 90th Street #2C,"['40.7818985,-73.95269775']",3699,2.0,1.0,0.0
71,3024289,155 W 68th Street #706,"['40.77610016,-73.98280334']",3999,2.0,1.0,0.0
72,3026365,164 East 85th Street 5--EAST,"['40.77827075,-73.95538269']",2900,2.0,1.0,0.0
73,3026362,2294 Frederick Douglass Boulevard #4A,"['40.80895533,-73.95165223']",1800,0.0,1.0,0.0
74,3026360,101 Charles Street #2RW,"['40.73474486,-74.00549549']",2800,1.0,1.0,0.0
75,3026359,2294 Fred Douglas Boulevard #3C,"['40.80895533,-73.95165223']",2500,2.0,1.0,850.0
76,3026339,305 West 18th Street #5B,"['40.74269867,-74.00119781']",3800,1.0,1.0,562.0
77,3026357,310 East 44th Street #1703,"['40.75049973,-73.97049713']",3725,1.0,1.0,0.0
78,2951882,260 W 52nd Street #8F,"['40.76319885,-73.98490143']",4015,1.0,1.0,776.0
79,3020368,260 West 54th Street #34B,"['40.7643013,-73.98410034']",3895,1.0,1.0,778.0
80,3026328,330 East 15th Street #10,"['40.7323284,-73.98336258']",2200,1.0,1.0,400.0
81,3026324,303 West 66th Street #1GE,"['40.77659988,-73.98760223']",4800,2.0,1.0,0.0
82,3026320,140 West 19th Street #5A,"['40.7410112,-73.99653207']",2700,0.0,1.0,0.0
83,3026318,203 East 33rd Street #16A,"['40.74506864,-73.97801463']",3000,2.0,1.0,0.0
84,3026317,203 East 33rd Street #3A,"['40.74506864,-73.97801463']",4600,3.0,2.0,0.0
85,3026316,140 West 19th Street #4B,"['40.7410112,-73.99653207']",2745,0.0,1.0,0.0
86,3026315,415 East 37th Street #16N,"['40.74569021,-73.97122965']",3500,1.0,1.0,866.0
87,3026314,138 Bowery #8G,"['40.71920013,-73.99490356']",3200,1.0,1.0,0.0
88,3026307,730 Riverside Drive #4A,"['40.8303659,-73.94936377']",3900,3.0,1.0,0.0
89,3026304,776 Sixth Avenue #12N,"['40.74480057,-73.99089813']",2995,0.0,1.0,431.0
90,3026298,121 West 120th Street #4R,"['40.80527345,-73.94886271']",2495,1.0,1.0,550.0
91,2959149,21 West End Avenue #2704,"['40.772765,-73.990313']",5160,1.0,1.0,0.0
92,2971056,377 East 33rd Street #10A,"['40.74349976,-73.97419739']",3483,1.0,1.0,531.0
93,3026293,185 Christopher Street #2,"['40.73268601,-74.00973137']",6300,3.0,1.0,0.0
94,3026289,888 Main Street #225,"['40.76229858,-73.94950104']",4048,2.0,2.0,915.0
95,3026281,28 West 73rd Street #4BB,"['40.77748121,-73.97743706']",3675,2.0,1.0,0.0
96,3026278,67 West 73rd Street #1B,"['40.77820317,-73.97794953']",2690,1.0,1.0,0.0
97,3026277,319 West 106th Street #3B,"['40.80231369,-73.96944613']",2470,1.0,1.0,0.0
98,3026274,232 W 14th Street #4A,"['40.73899841,-74.00150299']",6295,3.0,1.0,0.0
99,3026273,250 Mott Street #15,"['40.72340012,-73.99449921']",4250,1.0,1.0,0.0
100,3026272,939 2nd Avenue #3,"['40.75479889,-73.96880341']",7495,4.0,2.0,0.0
101,3026270,219 E 23rd Street #5,"['40.73860168,-73.98190308']",3395,1.0,1.0,0.0
102,3026271,202 E 13th Street #3F,"['40.7322998,-73.98750305']",5995,2.0,2.0,0.0
103,3026269,410 E 13th Street #1A,"['40.73020172,-73.98259735']",4495,0.0,1.0,0.0
104,3012473,101 W End Avenue #12Z,"['40.77510071,-73.98840332']",3867,1.0,1.0,608.0
105,3019987,350 W 43rd Street #45F,"['40.75850869,-73.99128999']",4111,1.0,1.0,0.0
106,3026268,330 E 35th Street #34,"['40.74459839,-73.97399902']",3695,2.0,1.0,0.0
107,3026267,209 E 25th Street #5E,"['40.74010086,-73.98149872']",3695,1.0,1.0,0.0
108,3026265,309 W 97th Street #4N,"['40.79639816,-73.97319794']",4395,3.0,2.0,0.0
109,3026266,209 E 25th Street #2E,"['40.74010086,-73.98149872']",3495,1.0,1.0,0.0
110,3026264,202 E 13th Street #3E,"['40.7322998,-73.98750305']",5795,3.0,2.0,0.0
111,3026263,219 E 23rd Street #7-8,"['40.73860168,-73.98190308']",7495,4.0,2.0,0.0
112,3026261,10 Gay Street #2A,"['40.73350143,-74.00050354']",3495,1.0,1.0,500.0
113,3026257,15 West 139th Street #A12,"['40.81629944,-73.936203']",2300,1.0,1.0,0.0
114,3026256,376 Eighth Avenue #1,"['40.74881175,-73.9955969']",4895,3.0,1.0,1.0
115,3026251,200 Waverly Place #21,"['40.73485202,-74.00171396']",5895,3.0,1.0,750.0
116,3026244,135 West Tenth Street #16,"['40.7347889,-74.00066754']",4025,2.0,1.0,0.0
117,3017860,138 East 12th Street #3F,"['40.73189926,-73.98860168']",4450,0.0,1.0,0.0
118,2791655,666 West End Avenue 14DEG-F,"['40.79270172,-73.97450256']",15166,4.0,4.0,0.0
119,3026243,217 East Broadway #3,"['40.7140598,-73.98737836']",6995,4.0,2.0,0.0
120,3026238,541 West 49th Street #10,"['40.76509077,-73.99411935']",1895,1.0,1.0,0.0
121,3026236,113 W 130th Street #4,"['40.81149069,-73.9439052']",2200,0.0,1.0,0.0
122,3026234,124 Mott Street #21,"['40.71822425,-73.99661622']",2410,1.0,1.0,0.0
123,3026233,30 Park Avenue #15M,"['40.74829865,-73.98100281']",6275,2.0,2.0,0.0
124,3025820,245 West 51st Street #812A,"['40.76282276,-73.984835']",2795,1.0,1.0,0.0
125,3025819,245 West 51st Street #811A,"['40.76282276,-73.984835']",3495,2.0,1.0,0.0
126,3025816,130 West 74th Street #2A,"['40.77901583,-73.97911192']",2795,1.0,1.0,0.0
127,3025815,245 West 51st Street #608A,"['40.76282276,-73.984835']",4900,3.0,1.0,0.0
128,3025812,180 Riverside Boulevard #16O,"['40.77840042,-73.98789978']",3880,1.0,1.0,594.0
129,3025811,615 1/2 Hudson Street #4,"['40.73789581,-74.00594681']",4902,2.0,1.0,0.0
130,3023350,171 Suffolk Street #6J,"['40.7214896,-73.98512941']",3120,0.0,1.0,0.0
131,2999845,100 West 31st Street #39B,"['40.7478981,-73.98960114']",6365,2.0,1.0,858.0
132,3025810,215 West 108th Street #14,"['40.80236203,-73.9656499']",3300,3.0,1.0,1.0
133,3025807,447 West 22nd Street #4R,"['40.74664619,-74.00315786']",3150,1.0,1.0,0.0
134,3025803,207 East 15th Street #2A,"['40.73392345,-73.98595293']",2200,0.0,1.0,0.0
135,3025800,377 East 33rd Street #8J,"['40.74349976,-73.97419739']",3873,1.0,1.0,658.0
136,3025799,129 East 4th Street #1BE,"['40.7255878,-73.98744112']",2250,1.0,1.0,0.0
137,3025798,20 West Street #29E,"['40.70619965,-74.01560211']",2500,0.0,1.0,615.0
138,3025797,421 East 9th Street #B3,"['40.72791488,-73.98368479']",2650,1.0,1.0,0.0
139,3025794,11 Dongan Place #5J,"['40.86317943,-73.92953777']",1699,2.0,1.0,700.0
140,3025792,405 East 54th Street #12B,"['40.75630188,-73.96360016']",3950,1.0,1.0,911.0
141,3025791,88 Leonard Street #PHA2,"['40.71689987,-74.00469971']",14764,3.0,3.0,0.0
142,3025788,8 Spruce Street #50N,"['40.71060181,-74.00530243']",4366,1.0,1.0,0.0
143,2885105,20 Park Avenue #5G,"['40.74810028,-73.98110199']",2979,0.0,1.0,0.0
144,3021094,150 E 44th Street #22B,"['40.7521019,-73.97419739']",4038,1.0,1.0,712.0
145,3025787,8 Spruce Street #67J,"['40.71060181,-74.00530243']",8677,2.0,2.0,0.0
146,3025779,446 East 76th Street #1A,"['40.76946986,-73.9522477']",2065,1.0,1.0,0.0
147,3025777,99 East 3rd Street #3F,"['40.72480011,-73.98760223']",3500,2.0,1.0,0.0
148,3025774,232 Elizabeth #2D,"['40.72299957,-73.9937973']",4995,2.0,1.0,0.0
149,3025773,75 West End Avenue #S6F,"['40.77429962,-73.98930359']",3050,1.0,1.0,0.0
150,3025769,515 East 12th Street #1B,"['40.7289464,-73.98040124']",1925,0.0,1.0,0.0
151,3025767,492 Ninth Avenue #2B,"['40.75547045,-73.9943873']",3750,3.0,1.0,0.0
152,3025762,267 East 10th Street #12,"['40.72850037,-73.98310089']",2850,1.0,1.0,0.0
153,3025759,70 Charlton Street #18C,"['40.72669983,-74.00659943']",14500,3.0,3.0,1.0
154,3025757,492 Ninth Avenue #2D,"['40.75547045,-73.9943873']",2495,0.0,1.0,0.0
155,3025753,401 East 34th Street #N23B,"['40.74380112,-73.97250366']",5077,2.0,2.0,1.0
156,3010642,550 W 45th Street #404,"['40.76190186,-73.99590302']",2896,0.0,1.0,0.0
157,2978874,252 South Street #63J,"['40.71020126,-73.98930359']",15625,3.0,3.0,2.0
158,3025751,6 East 36th Street #5,"['40.74925524,-73.98309128']",4300,3.0,1.0,0.0
159,3025748,607 East 11th Street #2,"['40.72740173,-73.97879791']",2800,1.0,1.0,0.0
160,3025738,271 West 47th Street #31J,"['40.76050921,-73.98699776']",3112,0.0,1.0,0.0
161,3025735,271 West 47th Street #38F,"['40.76050921,-73.98699776']",5312,2.0,2.0,0.0
162,3025731,2 Charles Street #1,"['40.73517591,-74.00053404']",3000,0.0,1.0,0.0
163,3025728,271 West 47th Street #38E,"['40.76050921,-73.98699776']",3094,0.0,1.0,0.0
164,3025724,101 East 10th Street #9C,"['40.73077551,-73.98865247']",3275,0.0,1.0,0.0
165,3025717,100 Christopher Street #4E,"['40.73313372,-74.00482422']",3450,1.0,1.0,0.0
166,3025716,102 Christopher Street #6G,"['40.73313372,-74.00482422']",2800,0.0,1.0,0.0
167,3025715,33 Rector Street #3L,"['40.7083065,-74.01495421']",3215,2.0,1.0,0.0
168,3025714,142 East 33rd Street #1G,"['40.74533523,-73.97987674']",2895,2.0,1.0,0.0
169,2977482,400 West 63rd Street #1402,"['40.77460098,-73.98989868']",3735,1.0,1.0,589.0
170,3020428,33 West End Avenue #3G,"['40.77330017,-73.98989868']",3095,1.0,1.0,0.0
171,3025711,124 East 24th Street #1E,"['40.74035157,-73.98521903']",3050,0.0,1.0,680.0
172,3025708,685 First Avenue #25P,"['40.7474,-73.9714']",8173,3.0,2.0,1.0
173,3025706,111 West 130th Street #2R,"['40.81146596,-73.94384381']",2550,1.0,1.0,525.0
174,3025704,580 Amsterdam Avenue #3D,"['40.78926091,-73.97413596']",2199,1.0,1.0,0.0
175,3025703,685 First Avenue #17P,"['40.7474,-73.9714']",6853,2.0,2.0,1.0
176,3025702,145 Mulberry Street #PHA,"['40.71899281,-73.99774172']",5200,3.0,2.0,0.0
177,3025701,685 First Avenue #16F,"['40.7474,-73.9714']",4654,1.0,1.0,862.0
178,3025697,150 West 51st Street #1031,"['40.76129913,-73.98269653']",3450,1.0,1.0,550.0
179,3025696,685 First Avenue #10R,"['40.7474,-73.9714']",4123,0.0,1.0,671.0
180,3025690,625 West 57th Street #623,"['40.77109909,-73.99269867']",3950,1.0,1.0,0.0
181,3025689,601 West 57th Street #20D,"['40.77080154,-73.9917984']",2900,0.0,1.0,0.0
182,3018656,220 West 24th Street #2B,"['40.74499893,-73.99629974']",2980,0.0,1.0,411.0
183,2997290,125 Delancey Street #1009,"['40.7179,-73.9881']",7477,1.0,2.0,0.0
184,3025688,435 West 31st Street #PH3K,"['40.75230026,-73.99839783']",11083,3.0,2.0,1.0
185,3025687,780 Greenwich Street #4M,"['40.73669815,-74.00679779']",5222,1.0,1.0,0.0
186,3025683,250 West 93rd Street #6H,"['40.79270172,-73.97380066']",4195,1.0,1.0,0.0
187,3025682,250 West 93rd Street #17D,"['40.79270172,-73.97380066']",3771,1.0,1.0,0.0
188,3025679,145 Mulberry Street #PHE,"['40.71899281,-73.99774172']",7000,4.0,3.0,0.0
189,3025676,135 West 10th Street #16,"['40.7347889,-74.00066754']",4025,2.0,1.0,0.0
190,3025670,145 Mulberry Street #2D,"['40.71899281,-73.99774172']",5800,3.0,2.0,0.0
191,3025667,14 West 90th Street #1B,"['40.78803536,-73.96849932']",3600,1.0,1.0,0.0
192,3025663,285 Lafayette Street #6E,"['40.72399902,-73.9957962']",23950,3.0,2.0,2.0
193,3025651,314 West 89th Street #2,"['40.79100037,-73.97740173']",2850,1.0,1.0,0.0
194,3025648,777 6th Avenue #14C,"['40.74509811,-73.99160004']",6403,2.0,2.0,1.0
195,3018697,136 William Street #6B,"['40.70924051,-74.00643841']",5500,4.0,2.0,0.0
196,3015051,601 West 57th Street #18L,"['40.77080154,-73.9917984']",3200,0.0,1.0,0.0
197,3012409,10-40 River Road #12C,"['40.76480103,-73.94709778']",5723,3.0,2.0,1.0
198,3025630,305 West 50th Street #21B,"['40.76259995,-73.98619843']",6566,2.0,2.0,1.0
199,3025629,600 Washington Street #715,"['40.73059845,-74.00930023']",7732,2.0,2.0,1.0
200,3025626,307 East 44th Street #505,"['40.75090027,-73.97039795']",2325,0.0,1.0,0.0
201,3025618,230 East 27th Street #13,"['40.74055664,-73.98000449']",4200,3.0,1.0,0.0
202,3025608,444 East 75th Street #4G,"['40.76869965,-73.95279694']",2800,0.0,1.0,0.0
203,3025606,307 East 44th Street #421,"['40.75090027,-73.97039795']",2590,0.0,1.0,0.0
204,3025605,30 West 18th Street #9F,"['40.73899841,-73.99359894']",5250,2.0,2.0,0.0
205,3025603,316 East 3rd Street #PHC,"['40.72069265,-73.97892457']",4495,2.0,1.0,900.0
206,3025599,68 East 1st Street #3A,"['40.72371601,-73.9888088']",3000,1.0,1.0,0.0
