,Method of Operation,Premise Name,Premise Address,Premise City
270,"BAR/TAVERN SERVING WINE, BEER & CIDER",GOOSE BARNACLE LLC,91 ATLANTIC AVE,BROOKLYN
278,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",1862 HOSPITALITY LLC,503 505 E 12TH ST,NEW YORK
279,"TAVERN SERVING BEER, WINE, & CIDER",ALIDORO II LLC,260 MADISON AVE,NEW YORK
281,NIGHTCLUB - RESTAURANT SELLING ON PREMISE ALCOHOL SECOND AND THIRD FLOOR,760 8TH AVE REST INC,760 766 8TH AVE AKA 268 W 47,NEW YORK
288,"BAR/TAVERN SERVING BEER, CIDER  WINE AND LIQUOR",126 HAMILTON PLACE LLC,500 W 143RD ST,NEW YORK
290,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",NEW YORK CHAPTER OF THE AMERICAN,534 LAGUARDIA PLACE,NEW YORK
291,"BAR/TAVERN SERVING WINE, BEER AND CIDER     ",CHIN & SUE INC,310 E 44TH ST,NEW YORK
292,TAVERN SERVING BEER CIDER LIQUOR & WINE ,322 E 14TH STREET CORP,322 E 14TH ST,NEW YORK
297,TAVERN RESTAURANT SERVING CIDER BEER WINE & LIQUOR,PMC CORP,354 3RD AVENUE,NEW YORK
301,"BAR/TAVERN WITH ADULT ENTERTAINMENT SERVING LIQUOR, WINE, BEER AND CIDER",689 EATERY CORP,689 8TH AVE ,NEW YORK
302,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",75 ST MARKS PLACE LLC ,75 ST MARKS PL,NEW YORK
313,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",TWO BIG BOYS INC,405 WEST 51ST STREET,NEW YORK
319,"SUMMER TAVERN SELLING BEER, WINE AND CIDER",KONKAPOT ENTERTAINMENT INC,60 CHELSEA PIERS,NEW YORK
320,"TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",BG BAR INC,113 LUDLOW ST,NEW YORK
326,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,RBSB LLC,185 CHRISTOPHER ST,NEW YORK
338,CLUB TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,HARMONIE CLUB OF THE CITY OF NEW YORK,4 E 60TH STREET,NEW YORK
363,"INDOOR GOLF/BAR SERVING LIQUOR, WINE BEER AND CIDER     ","RANGE NYC LLC, THE",22 STONE STREET ,NEW YORK
365,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER & BEER,SUSHI VIDA INC,237 DYCKMAN ST,NEW YORK
371,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",57 GRAND STREET CAFE CORP,57 GRAND STREET,NEW YORK
376,TAVERN SERVING LIQUOR WINE AND BEER CIDER,ROB TESS RESTAURANT CORP,302 E 92ND STREET,NEW YORK
383,TAVERN SERVING BEER WINE CIDER AND LIQUOR,TWO GUYS AND TOM INC,348 W 52ND ST,NEW YORK
388,"CLUB - TAVERN SERVING LIQUOR, WINE, AND BEER CIDER","RIVER CLUB OF NEW YORK INC,THE",447 E 52ND STREET,NEW YORK
393,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",CARA FOODS LLC,389 5TH AVE AKA 1 E 36TH ST,NEW YORK
397,TAVERN SERVING LIQUOR WINE CIDER AND BEER,SHO RIKI INC,"141 E 45TH ST BSMNT, FL 1",NEW YORK
400,TAVERN SERVING BEER WINE CIDER AND LIQUOR,SPT CORP,538 E 14TH STREET,NEW YORK
403,TAVERN SERVING BEER WINE AND LIQUOR CIDER,STERLING PARKSIDE CORP,317 E HOUSTON STREET,NEW YORK
404,"TAVERN WITHIN A KIOSK/FOOD TRUCK SERVING WINE, BEER AND CIDER",VERY FRESH NOODLES LLC,425 W 15TH ST ,NEW YORK
408,CLUB SERVING BEER WINE AND LIQUOR CIDER,WOMENS NATIONAL REPUBLICAN CLUB INC,3 W 51ST STREET,NEW YORK
411,"TAVERN SERVING WINE, BEER, & CIDER",HEIDI'S HOUSE LLC  ,308 E 78TH STREET,NEW YORK
417,"TAVERN SERVING BEER, WINE & CIDER",LUDLOW COFFEE SUPPLY LLC,176 LUDLOW ST ,NEW YORK
422,TAVERN SERVING BEER WINE CIDER AND LIQUOR,APOTHEKE LLC,9 DOYERS STREET,NEW YORK
430,TAVERN RESTAURANT SERVING BEER CIDER LIQUOR & WINE ,CHIK ASSOCIATES LLC,135 W 26TH STREET,NEW YORK
432,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",J HOWARD REST INC,375 W 125TH STREET,NEW YORK
439,"HOTEL TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",IROQUOIS HOTEL LLC,49 W 44TH STREET,NEW YORK
442,"HOTEL TAVERN SERVING BEER, WINE, CIDER AND LIQUOR",SURREY HOTEL ASSO LLC/SERAFINA BWAY 55TH LOUNGE,210 W 55TH ST  (ENTIRE BLDG),NEW YORK
446,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,SNS BAR LLC,63 GANSEVOORT ST,NEW YORK
448,"BAR/TAVERN SERVING BEER, WINE, CIDER, & LIQUOR",RHI EQUITY LLC & ET AL 150710 LLC,191 CHRYSTIE ST,NEW YORK
453,CLUB TAVERN SERVING BEER WINE AND LIQUOR CIDER,"LIEDERKRANZ OF THE CITY OF,THE NEW YORK INC",6 EAST 87TH STREET,NEW YORK
456,CLUB SERVING BEER WINE CIDER AND LIQUOR,SOHO-LUDLOW INC,139 LUDLOW ST,NEW YORK
469,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",BROADWAY REGENCY RESTAURANT LLC & STRATEGIC DREAM ,210 W 55TH STREET,NEW YORK
470,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,1702 RATHBONES INC,1702 2ND AVENUE,NEW YORK
472,"BAR TAVERN SERVING BEER, WINE, & CIDER",LEFKAS HOSPITALITY LLC,139 E 12TH ST,NEW YORK
475,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",PARALLEL BAR INC,133 AVE C,NEW YORK
480,BAR/TAVERN LIQUOR WINE BEER CIDER,RBC BAR INC,77 WORTH ST,NEW YORK
481,"TAVERN/RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",MEATH TRAILS INC,61 2ND AVENUE,NEW YORK
487,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",RUBY SLIPPERS HOSPITALITY CORP,135 W 18TH ST,NEW YORK
489,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,IRISH TOWN INC,43 WEST 54TH STREET,NEW YORK
492,VESSEL TAVERN SERVING BEER WINE CIDER AND LIQUOR,CLASSIC HARBOR LINE LLC,CHELSEA PIER 23RD ST & HUDSON ,NEW YORK
497,"TAVERN RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",MESON SEVILLA LTD,344 WEST 46TH ST,NEW YORK
499,CLUB SERVING  BEER CIDER LIQUOR & WINE ,69TH INFANTRY OFFICERS CLUB INC,68 LEXINGTON AVENUE,NEW YORK
507,TAVERN/BAR SERVING BEER CIDER WINE & LIQUOR,CORMAR INCORPORATED,507 E 5TH ST,NEW YORK
509,"BAR/TAVERN SERVING BEER, WINE, & CIDER",VILLAS LOUNGE 2 CORP,130 132 AUDUBON AVE ,NEW YORK 
517,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",GARDEN CAFE ASSOC LP SULCATA CORP GP & 3LPS,40 EAST 4TH ST ,NEW YORK
523,"BAR/TAVERN SERVING WINE, BEER AND CIDER",V&J 37 VENTURES LLC,477 10TH AVE ,NEW YORK
526,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,DAV TSI DAV INC,149 BLEECKER STREET 2FL,NEW YORK
531,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,247 WEST 37TH STREET LLC,247 WEST 37TH ST   WEST STORE,NEW YORK
535,CLUB SERVING BEER WINE AND LIQUOR CIDER,TIRO A SEGNO OF N Y INC,73 75 77 MAC DOUGAL ST,NEW YORK
547,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,CLUB MACANUDO INC,26 E 63RD STREET,NEW YORK
549,TAVERN SERVING LIQUOR WINE CIDER AND BEER,DOUBLE DOWN NYC LLC,14 AVENUE A,NEW YORK
556,"RESTAURANT/BAR SERVING BEER, WINE, LIQUOR, & CIDER",SAIGON MARKET LLC,91 93 UNIVERSITY PLACE,NEW YORK
563,"BAR/TAVERN SERVING BEER, CIDER, AND WINE",CARANDA EMPORIUM LLC,22 E 125TH ST,NEW YORK
565,KARAOKE BAR SERVING LIQUOR BEER CIDER AND WINE,EIGHTH AVENUE H & Y DUET INC,"900 8TH AVE, BASEMENT",NEW YORK
569,"TAVERN SERVING WINE, BEER AND CIDER",TKK NEW YORK LLC,115 E 23RD ST,NEW YORK
572,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER & BEER,HOT CORNER VENTURES CORP,558 HUDSON ST AKA 101 PERRY ST,NEW YORK
583,"TAVERN/ CAFE SERVING WINE, BEER AND CIDER",JOEY BATS CAFE NYC LLC,129 ALLEN ST,NEW YORK
592,"BAR SERVING LIQUOR, WINE, BEER AND CIDER     ",ETHOS LABS LLC,446 W 14TH ST,NEW YORK
600,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,RESTAURANT SERVICES I LLC & LINCOLN CENTER FOR THE,155 W 62ND ST,NEW YORK
607,TAVERN SERVING BEER WINE AND LIQUOR CIDER,JOHN PHIL TAVERN CORP,350 E 53RD STREET,NEW YORK
612,TAVERN SERVING BEER WINE CIDER AND LIQUOR,106 AMSTERDAM REST CORP,HUDSON BEACH W 105TH PARK ,NEW YORK 
613,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER","WATERING HOLE OF 2ND AVE CORP,THE",68 2ND AVENUE,NEW YORK
629,"TAVERN/BAR SERVING BEER, WINE, & CIDER",BAR SUZETTE LLC ,425 W 15TH ST ,NEW YORK 
638,"TAVERN SERVING BEER, WINE & CIDER",1412 K BROADWAY CAFE INC,1412 BROADWAY,NEW YORK
640,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",82ND STREET CAFE INC,1453 57 3RD AVE,NEW YORK
647,"BAR/TAVERN SERVING WINE , BEER AND CIDER",GVI RIVERSIDE LLC,100 RIVERSIDE BLVD,NEW YORK
651,BAR TAVERN SERVING BEER WINE AND LIQUOR,JAPP DRINK CORP,704 W 177TH ST,NEW YORK
653,"CLUB - TAVERN SERVING LIQUOR, WINE, CIDER AND BEER","ASSOCIATION OF THE BAR,THE",42 W 44TH STREET,NEW YORK
665,TAVERN SERVING BEER WINE CIDER AND LIQUOR,683 NINTH AVENUE INC,683 NINTH AVE AKA 401 W 47TH ,NEW YORK
672,"SUMMER TAVERN SERVING WINE, BEER AND CIDER",PIER 84 CHIP SHOP LLC,557 12TH AVE,NEW YORK
673,"BAR/TAVERN WINE SERVING WINE, BEER AND CIDER",GOOD THANKS CAFE LLC,131 ORCHARD ST,NEW YORK
674,TAVERN SERVING LIQUOR WINE AND BEER CIDER,17TH STREET ENTERTAINMENT II LLC,453 W 17TH STREET,NEW YORK
677,MEMBERS ONLY CLUB SERVING LIQUOR & CIDER,SPANISH BENEVOLENT SOCIETY INC ,239 W 14TH ST ,NEW YORK
679,"TAVERN WINE SERVING BEER, WINE AND CIDER","WRECKING CLUB LLC, THE",458 9TH AVE,NEW YORK
684,OUTDOOR TAVERN SERVING BEER WINE CIDER AND LIQUOR,MASTERPIECE CATERERS CORP,55 WATER ST,NEW YORK
686,"TAVERN SERVING WINE, BEER, & CIDER ONLY",M & S MUSIC STUDIO INC,28 W 32ND ST 3RD FLR,NEW YORK
687,TAVERN SERVING BEER WINE AND LIQUOR CIDER,ILURAS LLC & 358 W 44TH ST THEATER CO INC,358 W 44 ST 2ND FLOOR,NEW YORK
688,TAVERN SERVING BEER CIDER WINE AND LIQUOR,RIVINGTON CAFE CORP,123 RIVINGTON STREET,NEW YORK
692,TAVERN SERVING BEER WINE AND LIQUOR,LINCOLN CTR PERFORMING ARTS & REST SERVICES I LLC,100 COLUMBUS AVENUE,NEW YORK
694,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,FULL JEEP CORPORATION,145 BLEECKER STREET,NEW YORK
695,"BAR/TAVERN SERVING WINE, BEER & CIDER",GREAT PERFORMANCES ARTISTS AS WAITRESSES INC,548 W 22ND ST ,NEW YORK
700,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",WHANY LLC,115 MACDOUGAL ST,NEW YORK 
701,TAVERN SERVING BEER WINE CIDER AND LIQUOR,GBND ENTERPRISES INC,130 WEST 3RD STREET,NEW YORK
703,"CLUB SERVING BEER, WINE CIDER & LIQUOR ",GOLF & BODY NYC LLC,883 6TH AVE ,NEW YORK
707,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER",RPM UNDERGROUND LLC,244 W 54TH ST,NEW YORK
709,"BAR/TAVERN SERVING BEER, WINE & CIDER",HIEB CORP,168 LUDLOW ST,NEW YORK
710,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,LOCAL WEST LLC,ONE PENN PLAZA ,NEW YORK
713,TAVERN SERVING BEER WINE CIDER AND LIQUOR,THE WORLD BAR LLC,845 UNITED NATIONS PLAZA,NEW YORK
718,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,WENTED REALTY CORP,59 W 46TH ST,NEW YORK
729,TAVERN SERVING BEER CIDER WINE AND LIQUOR,THE SYMPHONY SPACE INC,2537 BROADWAY,NEW YORK
738,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",WEST 20TH ENTERPRISES CORP,20 W 20TH STREET,NEW YORK
750,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,MESS HALL LLC,2194 8TH AVE,NEW YORK
773,"TAVERN/RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",LM RESTAURANT GROUP LLC,120 E 15TH ST,NEW YORK
779,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,INISHOWEN INC,287 3RD AVENUE,NEW YORK
781,"TAVERN SERVING LIQUOR, WINE, AND BEER CIDER",LONGFORD INC,98 3RD AVE,NEW YORK
782,"BAR/TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",530 2ND AVE WINE BAR CORP,530 2ND AVE,NEW YORK
788,"TAVERN SERVING BEER, WINE AND CIDER",SHIGEMITSU NEW YORK INC,1374 3RD AVE,NEW YORK
789,"TAVERN SERVING LIQUOR, WINE, CIDER AND BEER",GRANGIO RESTAURANT CORPORATION,59 GROVE STREET,NEW YORK
795,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,TTBEL HOLDINGS INC,2080 FREDERICK DOUGLASS BLVD,NEW YORK
798,CLUB SERVING LIQUOR WINE BEER AND CIDER,WALL STREET OWNER INC,63 WALL ST,NEW YORK
800,TAVERN/BAR SERVING BEER WINE CIDER AND LIQUOR,MEZZROW LLC,163 W 10TH ST,NEW YORK
802,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",BUA NEW YORK LLC,122 SAINT MARKS PLACE,NEW YORK
806,"BAR/TAVERN SERVING BEER, CIDER, WINE & LIQUOR",PARK STONE VENTURE LTD ,47 EAST 29TH ST ,NEW YORK
