,Method of Operation,Premise Name,Premise Address,Premise City
1033,"BAR/TAVERN SERVING BEER, WINE, & CIDER",GVI PLAZA LLC,768 5TH AVE,NEW YORK
1036,TAVERN SERVING BEER WINE CIDER AND LIQUOR,BLUE RUIN INC,538 9TH AVENUE,NEW YORK
1040,RESTAURANT/BAR: ON PREMISE LIQUOR CIDER BEER & LIQUOR,785 CAFE INC,785 9TH AVENUE,NEW YORK
1041,CLUB RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,PC CLUB INC,155 W 66TH ST-1ST FLOOR,NEW YORK
1044,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",THIRD AVENUE RESTAURANT INC,430 AMSTERDAM AVENUE,NEW YORK
1045,"BAR/TAVERN SERVING BEER, WINE, AND CIDER",TUSCAN KITCHEN INC,2308 ADAM CLAYTON POWELL BLVD,NEW YORK
1046,"TAVERN/BAR SERVING BEER, WINE, LIQUOR, & CIDER",INDEPENDENT OF 23RD STREET ,158 E 23RD STREET,NEW YORK
1048,"TAVERN RESTAURANT SERVING BEER, CIDER WINE, LIQUOR, & CIDER",ABC HOME FURNISHINGS INC & VONGERICHTEN/SUAREZ LLC,38 E 19TH STREET,NEW YORK
1049,TAVERN SERVING BEER CIDER WINE AND LIQUOR,229 CAVAN CORK TAVERN INC,229 E 84TH STREET,NEW YORK
1053,TAVERN WINE SERVING BEER CIDER & WINE,SUBCULTURE LLC ,45 BLEECKER ST ,NEW YORK
1060,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER","ALLEN HOTEL INC, THE",88 ALLEN ST,NEW YORK
1064,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",732 EIGHTH AVENUE CORP,732 8TH AVENUE,NEW YORK
1065,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,336 PUB INC,336 3RD AVE,NEW YORK
1067,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,SPRING LEOPARD LLC,307 SPRING STREET,NEW YORK
1076,TAVERN SERVING LIQUOR WINE CIDER AND BEER,ALLEGRA ALLEGRA INC,15 1ST AVENUE,NEW YORK
1077,"BAR/TAVERN SERVING LIQUOR, CIDER WINE & BEER",ATTABOY COCKTAILS LLC,134 ELDRIDGE ST,NEW YORK
1079,"TAVERN/ RESTAURANT SERVING LIQUOR, CIDER, WINE, AND BEER",DONOHUES CAFE INC,845 LEXINGTON AVE,NEW YORK
1083,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER","PUSSYCAT LOUNGE INC,THE",96 GREENWICH STREET,NEW YORK
1087,"BAR TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",667 TENTH AVENUE CORP,667 10TH AVE,NEW YORK
1091,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,"DAME TAVERN INC, THE",3155 BROADWAY,NEW YORK
1113,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER ",DUNDEE LLC,1609 2ND AVE,NEW YORK
1118,"TAVERN/RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",BURKINABE ENTERTAINMENT LLC,2269 2271 ADAM CLAYTON POWELL ,NEW YORK
1123,TAVERN RESTAURANT SERVING WINE CIDER AND BEER,WESTVILLE RESTAURANT INC,173 AVENUE A,NEW YORK
1152,"BAR TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",SWEET HOSPITALITY GROUP,416 W 42ND ST,NEW YORK
1153,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER.",KALLEJON CORP,209 E 117TH ST,NEW YORK
1159,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, AND BEER CIDER",CHERRY TAVERN INC,441 E 6TH STREET,NEW YORK
1162,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,FAT ANNIE S LLC ,131 W 33RD STREET,NEW YORK
1171,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER","IMMIGRANT WINE BAR LLC, THE",341 E 9TH ST,NEW YORK
1178,TAVERN SERVING BEER WINE CIDER AND LIQUOR,SWEET HOSPITALITY GROUP,214 W 42ND STREET,NEW YORK
1190,BAR/TAVERN SERVING WINE BEER AND CIDER,DYCKMAN BILLIARDS CAFE INC,100 DYCKMAN ST,NEW YORK
1192,"BAR/TAVERN SERVING LIQUOR, WINE, BEER & CIDER   ",ROCK ZO 33 34 LLC,1 ROCKEFELLER PLAZA,NEW YORK
1199,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",SPAHA LOUNGE INC,1634 LEXINGTON AVENUE  STORE D,NEW YORK
1210,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",12TH ST ALE HOUSE LLC,192 2ND AVE,NEW YORK
1211,"BAR TAVERN SERVING BEER, WINE AND LIQUOR, CIDER",TNN ENTERPRISES LLC,315 W 39TH ST,NEW YORK
1219,"BAR/TAVERN SERVING BEER, WINE CIDER AND LIQUOR",TATU LLC,151 AVENUE C,NEW YORK
1222,"SEASONAL TAVERN SERVING WINE, BEER & CIDER ",SWEET CHURROS INC,00 BROADWAY PLAZA,NEW YORK
1227,BAR/TAVERN SERVING BEER CIDER AND WINE,3D MUSIC STUDIO INC,32 W 32ND ST,NEW YORK
1231,"TAVERN SERVING LIQUOR, WINE, CIDER AND BEER",140 WEST 43RD ST TAVERN INC,140 W 44TH STREET,NEW YORK
1236,"BAR/TAVERN SERVING BEER, CIDER WINE AND LIQUOR  ",BARRAGH CORP,340 9TH AVE,NEW YORK
1240,"RESTAURANT/BAR SERVING LIQUOR, WINE, BEER AND CIDER",MFRF ENTERPRISES INC,358 3RD AVE,NEW YORK
1242,"BAKERY/TAVERN/WINE SERVING WINE, BEER AND CIDER",DANISH BAKE 873 BROADWAY LLC & DANISH BAKE NYC LLC,873 BROADWAY,NEW YORK
1257,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",DIMUR ENTERPRISES INC,94 WEST HOUSTON STREET,NEW YORK
1259,RESTAURANT/BAR SERVING LIQUOR WINE CIDER AND BEER,JMIS RESTAURANT CORP,329 LEXINGTON AVE,NEW YORK
1261,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",MRT 58 RESTAURANT LLC,538 W 58TH ST,NEW YORK
1262,TAVERN SERVING LIQUOR WINE AND BEER CIDER,COCKTAIL BLUE LLC,6 8 DELANCEY STREET,NEW YORK
1272,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR,TARTINERY LIBERTY LLC,250 VESEY ST,NEW YORK
1282,TAVERN SERVING LIQUOR WINE CIDER & BEER,A S SUBWAY INN INC ,1140 SECOND AVE ,NEW YORK 
1289,"BAR/TAVERN (EVENT SPACE) SERVING BEER, WINE, LIQUOR & CIDER",CASA EVENTS BAR LLC,625 W 51ST ST,NEW YORK
1292,TAVERN SERVING LIQUOR WINE AND BEER CIDER,STOUT INC,127 135 WEST 33RD STREET,NEW YORK
1293,"BAR/TAVERN SERVING LIQUOR, WINE, BEER & CIDER",DAWNII INC,2118 FREDERICK DOUGLAS BLVD,NEW YORK
1294,"TAVERN SERVING BEER WINE CIDER AND LIQUOR, CIDER",LEGENDARY NIGHT SPOTS INC,59 61 CHRISTOPHER ST,NEW YORK
1299,"CLUB SERVING BEER, CIDER, WINE AND LIQUOR","UNION LEAGUE CLUB,THE",38 E 37TH STREET,NEW YORK
1313,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,JEREMY'S ALE HOUSE STILL INC,228 FRONT ST,NEW YORK
1316,"BAR/TAVERN SERVING BEER,CIDER WINE AND LIQUOR",LEAD TO GOLD INC ,225 AVENUE B 2ND FL,NEW YORK
1327,COMEDY CLUB SERVING BEER WINE CIDER AND LIQUOR,DO YOU LIKE COMEDY LLC,241 E 24TH ST,NEW YORK
1329,TAVERN SERVING BEER WINE CIDER AND LIQUOR,THEATRE REFRESHMENT CO OF NY INC,123 W 43RD STREET,NEW YORK
1333,CLUB TAVERN SERVING BEER WINE AND LIQUOR CIDER,ESTONIAN EDUCATIONAL,243 E 34TH ST,NEW YORK
1335,"BAR/TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",MJ 995 INC,995 AMSTERDAM AVE,NEW YORK
1342,RESTAURANT/BAR SERVING BEER WINE CIDER AND LIQUOR,FAT 2 MUSCLE LLC,13 E 17TH ST,NEW YORK
1344,"BAR/TAVERN SERVING BEER, WINE AND LIQUOR CIDER",COMEDY CLUBHOUSE INC,134 140 WEST 29TH ST,NEW YORK
1348,BAR/TAVERN SERVING BEER WINE & LIQUOR CIDER,165 W 26TH REST LLC,165 W 26TH ST,NEW YORK
1355,"BAR/COMEDY CLUB SERVING LIQUOR, WINE, BEER, AND CIDER",EDMANHUSTLE LLC,39 ESSEX ST,NEW YORK
1361,"BAR/RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",EBFRU LLC,119 E 15TH ST ,NEW YORK
1375,TAVERN SERVING BEER & WINE CIDER,RAMEN LAB NYC LLC,70 80 KENMARE ST STORE 5,NEW YORK 
1392,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,WILFIE & NELL LLC,228 W 4TH STREET,NEW YORK
1393,"TAVERN SERVING WINE , BEER AND CIDER",DAN AND JOHNS LLC,135 1ST AVE,NEW YORK
1395,BAR/TAVERN SERVING BEER WINE & CIDER,BRICIOLA CORP,370 W 51ST ST ,NEW YORK
1405,TAVERN SERVING BEER WINE CIDER AND LIQUOR,CHARLEY GROUP LLC,339 E 10TH STREET,NEW YORK
1411,"BAR/TAVERN SERVING WINE, BEER, & CIDER",PANAMA HAT ROASTERS LLC,308 E 109TH ST ,NEW YORK
1414,"BAR/TAVERN SERVING BEER, WINE AND CIDER.",GVI COLUMBUS LLC,66 W 84TH ST,NEW YORK
1428,"TAVERN SERVING LIQUOR, WINE AND BEER CIDER",ADARP INC,244 E HOUSTON ST,NEW YORK
1438,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,CLAUDISAL REST CORP,206 THOMPSON STREET,NEW YORK
1445,CLUB TAVERN SERVING BEER WINE CIDER AND LIQUOR,"CENTURY ASSOCIATION,THE",7 W 43RD STREET,NEW YORK
1447,CLUB SERVING LIQUOR WINE AND BEER CIDER,LOTOS CLUB INC,5 E 66TH STREET,NEW YORK
1458,"BAR/TAVERN SERVING WINE, BEER AND CIDER",PBNYC 2 CORP,462 W 49TH ST,NEW YORK
1463,TAVERN SERVING BEER WINE CIDER AND LIQUOR CIDER,656 NINTH AVENUE PUB CORP,656 9TH AVENUE,NEW YORK
1476,BAR/TAVERN SERVING LIQUOR BEER CIDER AND WINE,MANHATTAN FOOD & BEV LTD,5 W 37TH ST,NEW YORK
1477,"BAR/TAVERN SERVING BEER, WINE AND LIQUOR CIDER",PHYSICAL ONION LLC,697 10TH AVE ,NEW YORK
1484,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",IL COMMENDATORE RESTAURANT INC,127A MULBERRY STREET,NEW YORK
1492,"TAVERN SERVING WINE, BEER & CIDER ",SIREN RETAIL CORPORATION,1633 BROADWAY,NEW YORK
1495,"TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",980 REST INC,2021 7TH AVENUE,NEW YORK
1500,BAR/TAVERN SERVING BEER WINE & LIQUOR CIDER,151 SG PROPS LLC,151 RIVINGTON ST,NEW YORK
1508,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",86 ST AA LLC,203 SPRING ST,NEW YORK
1515,CLUB RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,"UNIVERSITY CLUB,THE",1  W 54TH STREET,NEW YORK
1517,TAVERN SERVING BEER WINE AND LIQUOR CIDER,DYLAN'S CANDYBAR LLC,1011 3RD AVENUE,NEW YORK
1530,TAVERN SERVING BEER WINE CIDER AND LIQUOR,THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT,247 W 44TH STREET,NEW YORK
1532,"BAR TAVERN SERVING BEER,WINE, CIDER, AND LIQUOR",OBBM LLC,88 BROAD ST,NEW YORK
1536,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",80 ENTERPRISES INC,80 BEAVER ST,NEW YORK
1548,"TAVERN SERVING LIQUOR, WINE, CIDER, AND BEER",RADIO CITY PRODUCTIONS LLC,1260 AVENUE OF THE AMERICAS,NEW YORK
1564,BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,MACK & MILO LLC,1825 2ND AVE,NEW YORK
1568,"BAR/TAVERN SERVING WINE, BEER AND CIDER",MURRAY'S CHEESE LLC,254 BLEECKER ST,NEW YORK
1572,TAVERN RESTAURANT SERVING BEER CIDER AND WINE,71 WINE BAR CAFE INC,237 COLUMBUS AVENUE,NEW YORK
1580,BAR/TAVERN SERVING BEER CIDER WINE AND LIQUOR ,LIQUOR LABORATORY INC,138 WOOSTER ST ,NEW YORK
1582,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,BOUNCE CAFE INC,416 3RD AVE,NEW YORK
1583,"BAR TAVERN BEER, WINE, AND LIQUOR CIDER ",GMT NEW YORK LLC,142 BLEECKER ST UNITS C1 + 1B1,NEW YORK 
1592,"TAVERN SERVING LIQUOR, WINE, CIDER AND BEER",SANDBAR CONCESSION INC,205 W 46TH STREET,NEW YORK
1594,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,GENTS ENTERPRISES INC,PENN STATION-MAIN CONCOURSE,NEW YORK
1606,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR ,BROADWAY 104 LLC,245 W 104TH ST,NEW YORK
1609,"TAVERN RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",358 RESTAURANT INC,358 E 57TH STREET,NEW YORK
1611,TAVERN SERVING LIQUOR CIDER WINE AND BEER,NANCY WHISKEY INC,1 LISPENARD STREET,NEW YORK
1616,"BAR/RESTAURANT SERVING BEER, WINE, CIDER, & LIQUOR",WESTSIDE TM CORPORATION,813 8TH AVE,NEW YORK
1619,"BAR/TAVERN SERVING BEER, CIDER WINE & LIQUOR ",ESSEX CAFE GROUP LLC,21 ESSEX ST SOUTH STORE,NEW YORK
1627,TAVERN SERVING BEER CIDER LIQUOR AND WINE ,1218 M & M BAR & GRILL INC,1218 ST NICHOLAS AVENUE,NEW YORK
1633,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",ELLSFRED INC ,520 E 6TH ST,NEW YORK
1640,"BAR/TAVERN SERVING WINE, BEER AND CIDER     ",252 WEST 51ST ST WINE BAR CORP,252 W 51ST ST,NEW YORK
1651,TAVERN RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,HYATT EQUITIES LLC,109 E 42ND STREET,NEW YORK
1661,"RESTAURANT/BAR-TAVERN SERVING LIQUOR, WINE BEER AND CIDER     ",GRAN TIVOLI LLC,406 BROOME STREET,NEW YORK
1670,"TAVERN SERVING BEER, WINE & CIDER",MARKYS LLC,1067 MADISON AVE,NEW YORK
1679,"TAVERN WINE SERVING WINE, BEER AND CIDER",SNACKBOXNYC LLC,TIMES SQUARE PEDESTRIAN PLAZA,NEW YORK
1681,TAVERN SERVING BEER WINE AND LIQUOR CIDER,HORSEBOX INC,218 AVENUE A,NEW YORK
1688,TAVERN SERVING BEER WINE AND LIQUOR CIDER,5 SPRING STREET CORP,5 SPRING STREET GROUND FL,NEW YORK
1689,"TAVERN SERVING WINE, BEER AND CIDER",341 FRAME INC,341 347 5TH AVE,NEW YORK
1690,TAVERN SERVING BEER WINE CIDER AND LIQUOR,VICSAM REST INC,114 116 CHRISTOPHER ST,NEW YORK
1694,CLUB SERVING LIQUOR WINE CIDER & BEER,"METROPOLITAN CLUB INC,THE",1 E 60TH STREET,NEW YORK
1695,BAR/TAVERN SERVING BEER CIDER LIQUOR AND WINE ,307 THIRD AVENUE EAST VENTURE LLC,307 3RD AVE AKA 201 E 23RD ST,NEW YORK 
1702,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",MANHATTAN ISLAND GROUP LLC,146 BEEKMAN ST,NEW YORK
1703,TAVERN-RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,SAM'S NY LLC,242 244 E 79TH ST,NEW YORK
1706,TAVERN RESTAURANT SERVING BEER CIDER WINE & LIQUOR ,NEW STATFORD RESTAURANT INC,121 ST MARKS PLACE,NEW YORK
1715,"TAVERN/RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",AQUA GRILL INC,208 210 SPRING STREET,NEW YORK
1716,"TAVERN/RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",81 PEARL STREET VENTURE LTD.,81 PEARL STREET,NEW YORK
1727,TAVERN SERVING LIQUOR WINE CIDER AND BEER,402 EIGHTH AVENUE REST INC,402 8TH AVENUE,NEW YORK
1729,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",EAST PUB INC,359 361 BOWERY,NEW YORK
1731,"CAFE/TAVERN SERVING WINE ,BEER AND CIDER",MACCHIATO LOUNGE INC,1501 BROADWAY,NEW YORK
1746,"BAR/TAVERN SERVING BEER, WINE CIDER AND LIQUOR",SARANAC LAKE LLC,3604 BROADWAY,NEW YORK
1747,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,WALTPETERICH RESTAURANT INC,18 W 33RD STREET,NEW YORK
1770,CLUB RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,KNICKERBOCKER CLUB INC,807 5TH AVENUE,NEW YORK
1774,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",FRANK MAC'S PLACE LLC,425 AMSTERDAM AVE,NEW YORK
1775,CABARET/CLUB SERVING BEER WINE AND LIQUOR CIDER,621 EVENTS LLC,621 WEST 46TH ST,NEW YORK
1777,TAVERN SERVING BEER WINE AND CIDER,20E FRAME INC,20 E 46TH ST,NEW YORK
1785,TAVERN SERVING BEER CIDER AND WINE,UNA PIZZA NAPOLETANA LLC,175 ORCHARD ST,NEW YORK 
1786,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",106 NORFOLK STREET LLC,106 NORFOLK ST - NORTH STORE,NEW YORK
1789,"CABARET SERVING BEER, WINE, LIQUOR, & CIDER",PIER A BATTERY PARK ASSOCIATES LLC,22 BATTERY PLACE,NEW YORK
1795,"TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",31 ORCHARD ST REALTY INC,301 E 12TH ST,NEW YORK
1796,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,FIDDLESTICKS LLC,54 58 GREENWICH AVENUE,NEW YORK
1803,TAVERN SERVING BEER WINE CIDER AND LIQUOR,THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT,252 W 45TH STREET,NEW YORK
1808,TAVERN SERVING LIQUOR WINE AND BEER CIDER,DONORE CORP,40 EXCHANGE PLACE,NEW YORK
1830,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,C & C FIRST AVE CORP,1495 1ST AVE,NEW YORK
1831,"TAVERN/KIOSK SERVING WINE, BEER & CIDER",MR BING OF TIMES SQUARE LLC,00 BROADWAY PLAZA,NEW YORK
1833,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",LOVE PICIN INC,153 1ST AVENUE,NEW YORK
1835,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,PUBLIC HOUSE NYC LLC,622 3RD AVE,NEW YORK
1837,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",BOWLMOR TIMES SQUARE LLC,222 W 44TH STREET,NEW YORK
1844,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",241 SULLIVAN ST CAFE CORP,241 SULLIVAN STREET,NEW YORK
1845,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",VYSK INC,174 RIVINGTON ST,NEW YORK
1852,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",CASTLEKNOCK INC,264 266 W 47TH STREET,NEW YORK
1853,"TAVERN/ COMEDY CLUB SERVING BEER, WINE, CIDER,  AND LIQUOR",MELDA COMEDY LLC,"99 MACDOUGAL ST, LOWER LEVEL",NEW YORK
1854,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,BROADWAY BLUES 50TH ST CORP,226 W 50TH STREET,NEW YORK
1862,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,PEARLSTONE RESTAURANT LLC,91 97 PEARL STREET/48 STONE ST,NEW YORK
1863,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",WALTERS BAR INC,389 8TH AVE,NEW YORK
1867,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER","MANHATTAN CLUB TIMESHARE ASSOCIATION INC,THE",200 W 56TH ST,NEW YORK
1879,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,"BROOME STREET BAR INC,THE",361 363 W BROADWAY,NEW YORK
1888,"RESTAURANT/BAR SERVING LIQUOR, WINE AND BEER CIDER",FLATIRON ROOM OPERATIONS LLC,37 WEST 26TH ST,NEW YORK
1891,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",FT 466 LLC,466 AMSTERDAM AVE,NEW YORK
1897,CLUB SERVING BEER WINE CIDER AND LIQUOR,UNION CLUB OF THE CITY OF,701 707 PARK AVE,NEW YORK
1901,"TAVERN RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",NEW YORK SHAKESPEARE FESTIVAL,425 LAFAYETTE STREET,NEW YORK
1914,"CLUB (MEMBERS ONLY) SERVING LIQUOR, WINE, BEER AND CIDER",CCC NFP INC,1 PIER 76,NEW YORK
1924,"BAR TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",IDEAL HOSPITALITY LLC,50 W 36TH ST,NEW YORK
1929,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,125 HOSPITALITY LLC,125 MACDOUGAL ST,NEW YORK
1932,BAR/TAVERN/LOUNGE SERVING BEER WINE CIDER & LIQUOR,ULLI BAR CORP,120 ORCHARD ST,NEW YORK
1937,TAVERN SERVING LIQUOR WINE CIDER AND BEER,162 4 AVE B BAR,162 164 AVENUE B,NEW YORK
1939,TAVERN SERVING LIQUOR CIDER WINE AND BEER,DUNMORE NEW YORK INC,875 10TH AVE,NEW YORK
1941,BAT/TAVERN SERVING BEER WINE AND CIDER,CONVENE 117 WEST 46TH LLC & FOR FIVE@117W 46TH LLC,117 W 46TH ST,NEW YORK
1955,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",LONDELS INC,2620 8TH AVENUE,NEW YORK
1958,TAVERN/CAFE SERVING BEER CIDER & WINE,THINK FOURTH AVENUE LLC,121 123 4TH AVE,NEW YORK
1959,TAVERN SERVING BEER WINE AND CIDER,BROOKS BROTHERS RESTAURANT LLC,901 BROADWAY ,NEW YORK
1961,"CLUB - TAVERN SERVING LIQUOR, WINE, AND BEER CIDER","NIPPON CLUB INC,THE",145 W 57TH STREET,NEW YORK
1966,"RESTAURANT/BAR SERVING LIQUOR, WINE, BEER, & CIDER",B AND B RESTAURANT GROUP LLC,285 MADISON AVE ,NEW YORK
1977,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",TANGIER LLC,311 CHURCH ST,NEW YORK
1983,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",JAMO 31 PLUS INC,5 W 31ST ST,NEW YORK
1984,"BAR/TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",701 RESTAURANT LLC,701 9TH AVE,NEW YORK
1986,BAR/TAVERN (CAFE) SERVING LIQUOR WINE BEER AND CIDER,MADISON & PARK HOSPITALITY GROUP LLC,36 BATTERY PL,NEW YORK
2004,TAVERN SERVING BEER WINE CIDER AND LIQUOR,101 WEST 75 BAR & REST ENTERPRISES LTD,101 W 75TH STREET,NEW YORK
2005,TAVERN SERVING LIQUOR WINE CIDER& BEER,BADEN BADEN NEW YORK INC,28 W 32ND STREET,NEW YORK
2009,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",DELTA 510 CORP,510 E 11TH ST,NEW YORK
2017,TAVERN SERVING BEER WINE  CIDER & LIQUOR,GHD INC,"432 E 13TH STREET, WEST STORE",NEW YORK
2018,TAVERN SERVING BEER WINE CIDER AND LIQUOR,HUGHES TAVERN LLC,1682 1ST AVENUE,NEW YORK
2027,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",ARTHURS TAVERN INC,57 GROVE ST,NEW YORK
2059,TAVERN SERVING BEER CIDER WINE AND LIQUOR,SPRBAR INC,310 SPRING STREET,NEW YORK
2060,TAVERN SERVING LIQUOR WINE CIDER AND BEER,THREE HOOPLES LTD,2662 BROADWAY,NEW YORK
2069,RESTAURANT TAVERN SERVING BEER WINE AND LIQUOR CIDER,22 EAST 54TH STREET RESTAURANT CORP,22 E 54TH ST,NEW YORK
2088,"TAVERN - RESTAURANT SERVING LIQUOR, WINE, AND BEER CIDER",PETER MCMANUS CAFE INC,152 7TH AVE,NEW YORK
2104,TAVERN RESTAURANT SERVING WINE CIDER AND BEER,CARAL LTD,318 WEST 53RD ST,NEW YORK
2105,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,SPRING REST GROUP LLC,53 SPRING ST,NEW YORK
2124,TAVERN SERVING BEER CIDER WINE AND LIQUOR ,COBRA CATERERS INC,575 HUDSON STREET,NEW YORK
2128,TAVERN SERVING BEER WINE CIDER AND LIQUOR,MPDRAW LLC,109 LUDLOW STREET,NEW YORK
2133,"BAR/TAVERN SELLING BEER, WINE, LIQUOR, & CIDER",134 WEST 3RD ST REST INC,134 W 3RD STREET,NEW YORK
2136,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",ORCHID STREET ENTERPRISES LLC,174 ORCHARD STREET,NEW YORK
2147,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER",MGTS CORP,1000 S 8TH AVE,NEW YORK
2155,"BAR/TAVERN SERVING BEER, WINE, CIDER AND LIQUOR",PANDA BUBBLE TEA CP LLC,1 HECKSCHER FIELDS,NEW YORK
2157,TAVERN SERVING BEER CIDER WINE & LIQUOR,SANDBAR CONCESSIONS INC,226 W 46TH STREET,NEW YORK
2161,"BAR/TAVERN SERVING BEER, CIDER WINE AND LIQUOR",LATTITUDE WESTSIDE CORP,783 8TH AVE,NEW YORK
2163,TAVERN SERVING BEER WINE AND LIQUOR CIDER,HOLLAND COCKTAIL LOUNGE INC,532 9TH AVENUE,NEW YORK
2164,"BAR/TAVERN SERVING BEER, CIDER, AND WINE",ESPRESSO BOOKSTORE & CAFE BROADWAY LLC,2020 BROADWAY,NEW YORK
2166,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",CHELSEA MUSIC HALL LLC,75 9TH AVE ,NEW YORK
2168,"BAR TAVERN SERVING LIQUOR, WINE AND BEER",MYNAH LLC,250 E 52ND ST,NEW YORK
2170,BAR/TAVERN SERVING WINE BEER AND CIDER,LIBERTY THEATERS LLC,18-22 MINETTA LN,NEW YORK
2179,"TAVERN  SERVING WINE, BEER AND CIDER",203 WEST 19 TAVERN INC,203 WEST 19TH ST,NEW YORK
2181,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",RAJMAR HOLDINGS INC,636 HUDSON STREET,NEW YORK
2185,CLUB RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,"JUNIOR LEAGUE OF THE,THE",128 130 E 80TH STREET,NEW YORK
2193,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,68 PERRY ST CORP,331 W 4TH STREET,NEW YORK
2194,"BAR SERVING LIQUOR, WINE, BEER & CIDER",SIREN RETAIL CORPORATION,61 9TH AVE ,NEW YORK
